Name,Should use?,Has received final editing pass?,Description,Experimental evidence,"If we just wanted to give an overview of the historical origins of experiment demonstrations of this error, then it seems fine to just reword this. But if we wanted to give more recent evidence, we'd need to look for further info elsewhere. Currently, the cell's content is taken from https://psynso.com/forgetting/",Examples,Manual keywords,Ten Conditions for Change (primary),Ten Conditions for Change (secondary),Benevolent helper,Tags,Source URLs,Source descriptions,Source notes,Other notes,Anthony's Notes,Ideas for Testing,Even more notes,Type of Rational Thinking Error(s) (Stanovich),Class of Rational Thinking Error(s) (Stanovich)
Perfectionist Fallacy,,,"Perfectionist Fallacy refers to the fallacious assumption that the only permissible option is perfection, and anything less than that should be rejected.",,,"For example, in response to encouragement to join a gym, someone might say, ""What's the use of trying? I could never have perfectly sculpted abs."" ","perfectionist, perfection, ideal, reject",3. Intends,"2. Desires, 5. Believes, 6. Chooses, 7. Knows, 8. Has, 10. Maintains.","To overcome this fallacy, one could respectfully encourage the person to engage in more realistic reasoning, perhaps by providing examples of outcomes that are desirable, despite not being perfect. Otherwise, this fallacy could cause people to dismiss proposals for behavior change if these do not match up with their unrealistically perfectionistic expectations regarding what a behavior change ""should"" constitute. It may also distort their perception of the possible ways to plan for and implement the behavior, may give them unrealistically high expectations of the environmental requirements (""Has"" condition), and may give them unrealistically high expectations regarding what should happen during the maintenance phase of the behavior. 

(See also: Nirvana Fallacy.)",rhetorical fallacy,,,rhetological fallacies spreadsheet,,,,,,
Pessimism Bias,,,"Pessimism bias refers to a tendency for some people, especially those suffering from depression, to overestimate the likelihood of negative occurrences.",,,,"pessimism, depression, estimate, probability, negative",5. Believes,"2. Desires, 3. Intends, 6. Chooses, 8. Has, 10. Maintains.","To overcome this bias, it might help to clearly explain the probability of success and by encouraging the person to consider the evidence that might count against their pessimistic conclusions. One could also help the person to document, celebrate, and remember each successful step towards behavior change (even the small ones - and especially the ones that they did not predict would be possible). If it is not overcome, pessimism bias could negatively affect someone's chances of behavior change at every stage (from the planning through to implementation and maintenance of the behavior). It could also cause a person to form unrealistic underestimates of their abilities, which might distort their reasoning about the best ways of implementing and continuing the behavior or might give them the impression that some behavior change goals or steps could be unattainable for them. (On the other hand, in some cases, pessimism bias might be able to be leveraged for success; for example, if a person is pessimistic enough to plan ahead for setbacks but not so pessimistic that they are discouraged from forming or implementing plans in the first place, then pessimism bias could be helpful in some behavior change contexts.)",cognitive bias,http://en.wikipedia.org/wiki/Pessimism_bias,,,,,,,,
Planning Fallacy,,,"The Planning Fallacy is a tendency for people and organizations to underestimate how long they will need to complete a task. This can apply even when they have past experience of similar tasks taking longer than expected. The bias only appears to affect predictions about one's own tasks; when uninvolved observers predict task completion times, they appear to show a pessimistic bias, overestimating the time taken.","In 2003, Lovallo and Kahneman proposed an expanded definition as the tendency to underestimate the time, costs, and risks of future actions and at the same time overestimate the benefits of the same actions. In a 1994 study, 37 psychology students were asked to estimate how long it would take to finish their senior theses. The average estimate was 33.9 days. They also estimated how long it would take ""if everything went as well as it possibly could"" (averaging 27.4 days) and ""if everything went as poorly as it possibly could"" (averaging 48.6 days). The average actual completion time was 55.5 days, with only about 30% of the students completing their thesis in the amount of time they predicted.","If we just wanted to give an overview of the historical origins of experiment demonstrations of this error, then it seems fine to just reword this. But if we wanted to give more recent evidence, we'd need to look for further info elsewhere. Currently, the cell's content is taken from https://en.wikipedia.org/wiki/Strategic_misrepresentation","For example, someone who is planning to implement a new behavior change that requires them to go through a series of preparatory steps beforehand may underestimate the time required to prepare via those steps. 
","planning, estimate, length, time, effort, project, task",8. Has,7. Knows,"To (try to) overcome this fallacy, it might help to show examples of how people regularly underestimate the amount of time needed to complete a project to help properly calibrate people's estimates.",cognitive bias,http://en.wikipedia.org/wiki/Planning_fallacy,,,,,,,,
Precision/Accuracy Bias,,,"Precision/Accuracy Bias refers to a tendency to believe that numbers that are stated more precisely (e.g.,75.1259) are more accurate than numbers that are not (e.g.,75), despite the fact that higher levels of precision are only necessary, but not sufficient, for higher levels of accuracy.",,,,"precision, accuracy, number",2. Desires,"1. Considers, 3. Intends, 5. Believes, 6. Chooses","To overcome or avoid this bias, intervention designers should take it into account when presenting information to people regarding a behavior change, the steps involved, or its consequences. In some situations, such as in meta-analyses of several large, well-designed studies, there might be enough information available to support the use of precise estimates (usually as part of confidence intervals, though, rather than point estimates), in which case it would be justified and advisable to do so. In cases where precise estimates are not possible (i.e., in most cases), it would be potentially misleading to present numbers in a way that implies a number can be estimated with a higher degree of precision than is actually possible. In other cases, when the people receiving the information are sufficiently statistically literate, then instead of being convinced of a highly precise estimate, they may notice the use of excessively precise-seeming numbers, may decide that the information source is not credible, and may be less likely to follow any behavioral change advice imparted.",cognitive bias,http://en.wikipedia.org/wiki/Precision_bias,,,,,,,,
Primacy Effect,,,The Primacy Effect refers to a tendency to weigh or remember initial events or information more strongly than subsequent events or information. ,"[This sentence taken from description column as it seems more like something that could be empirically tested than a definition.] For example, a subject who reads a sufficiently long list of words is more likely to remember words toward the beginning than words in the middle (though words at the end of the list may be even more memorable).","I think this can be deleted because it doesn't refer to any specific studies. (It was just expanding on the description, and I moved it into this column when going through the descriptions.) ",,"primacy, initial, first, subsequent, later, information, weight, remember",4. Remembers,"1. Considers, 2. Desires, 3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To leverage this effect, whenever the behavior change in question is being promoted, it may be helpful to prioritize presenting the most important information first (other things being equal). This may be important to keep in mind for people who are planning interventions designed to raise awareness of a particular desired behavior. When planning and distributing informational materials to promote behavior change, the information that is most critical to the goal (e.g., encouraging people to desire or to adopt the behavior change) may be better to present at the start. This might mean that people are more likely to desire, remember, and choose to engage in and continue the behavior when they encounter opportunities to do so. If the information presented also assists people in planning how exactly to start the behavior, then it could also help with the intention stage. (The Recency Effect could be another effect to consider at the same time as considering the Primacy Effect - in addition to presenting key information at the start, the Recency Effect suggests that it is important to present it at the end as well.) ",cognitive bias,http://en.wikipedia.org/wiki/Primacy_effect#Primacy_effect,,,,,,,,
Projection Bias,,,The Primacy Effect refers to a tendency to weigh or remember initial events or information more strongly than subsequent events or information. ,"[these sentences taken from the original description column, as they appear to be more explanations than just definitions...] Projection can also be a means of justifying certain actions that would normally be found atrocious or heinous. This often means projecting false accusations, information, etc. for the sole purpose of maintaining a self-created illusion about one's own subconscious actions or feelings.","I think this can be deleted because it doesn't refer to any specific studies. (It was just expanding on the description, and I moved it into this column when going through the descriptions.) ","For example, someone might not want to attend an Alcoholics Anonymous meet-up because they feel that other attendees will judge them; on reflection, they might realize that their prediction was attributable to the fact that they judge themselves harshly.","projection, subconscious, ascribe, attribute, thought, emotion, self, other",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome this bias, it might be helpful to encourage people to question their assumptions, especially if Projection Bias appears to be detrimentally impacting their beliefs about a behavior change (or about what is required to enact or maintain the behavior). After identifying any assumptions underlying the suspected Projection Bias, it might turn out that the person is affected by negative self-talk or faulty thought habits. In those cases, it might help to address these problems directly (such as by seeking professional counseling). ",cognitive bias,http://en.wikipedia.org/wiki/Projection_bias,,,Look into scientific evidence for the Projection bias.,,,,,
Prosecutor's Fallacy,,,"The Prosecutor's Fallacy refers to the fallacious assumption that the accuracy of an accusation against someone has no relationship with the specific context in which the accusation was made. It arose and is usually used in a legal context; it stems from a [statistical misunderstanding](https://en.wikipedia.org/wiki/Prosecutor%27s_fallacy#Mathematical_analysis), and it affects how people weigh evidence against an accused person. ",,,"Although this fallacy can refer to a legal phenomenon, the same fallacy could also affect statistical reasoning in other areas. For example, suppose that someone hypothesizes that they will fail at the behavior they are trying to start. If that person then notices some evidence that they are indeed struggling with the behavior, they might conclude that they will be one of the people who permanently fail at this particular goal. In doing so, they might fail to realize that the same evidence would also be present for people who go on to succeed with the behavior change.","prosecutor, statistics, legal, law, accuse, evidence",10. Maintains,"2. Desires, 3. Intends, 5. Believes, 6. Chooses","To overcome this fallacy, it may help to draw a diagram or to sit down and estimate the actual probabilities or odds of the outcomes about which one is trying to think. People who seem to be affected by the Prosecutor's Fallacy might also benefit from an understanding of Bayes' Theorem](https://www.youtube.com/watch?v=HZGCoVF3YvM) and [how to use it in everyday reasoning](https://www.youtube.com/watch?v=lG4VkPoG3ko). One can also read about how Bayes' Theorem can be [useful](https://en.wikipedia.org/wiki/Prosecutor%27s_fallacy#Mathematical_analysis) for trying to avoid the Prosecutor's Fallacy.",logical fallacy,http://en.wikipedia.org/wiki/prosecutor%27s_fallacy,,,,,,,,
Pseudocertainty Effect,,,The Pseudocertainty Effect refers to a tendency to perceive an outcome as certain despite uncertainty in multi-stage decision-making.,,,"For example, someone may have the goal of learning a new skill by a specific date and might be deciding whether to apply for one of two difficult-to-enter courses teaching that skill. They might only have a 25% chance of gaining entry to either of the options, but they need to decide in advance which of the two they want to apply for: a strictly-structured course or a self-paced one (that would allow them to learn 1.5 times as much material overall). Suppose they believe that by doing the strictly-structured one, they can be ~100% sure to learn the skill by a specific date; on the other hand, they predict only an 80% chance of engaging in the course material associated with the alternative, self-paced course. If they fell prey to the Pseudocertainty Effect, they would opt for the option with the 100% chance of reaching a particular skill level (even if that only allows for two-thirds the level of skill acquisition as the alternative would have).","certain, uncertain, decision",2. Desires,"1. Considers, 3. Intends, 10. Maintains","
To overcome or avoid this effect, when planning a multiple-stage process of behavior change, it might help to sit down and estimate the odds of different outcomes at each stage of a decision-process, taking uncertainties into account at every step. Otherwise, the Pseudocertainty Effect could cause one to overlook the uncertainties associated with reaching relevant milestones on the way to behavior change goals. ",cognitive bias,http://en.wikipedia.org/wiki/Pseudocertainty_effect,,,"Possible Q - present 3 stages of a decision and ask what will most affect the probability of different outcomes... the answer having to do with the first stage will have the most impact in the final result, but may be less flashy/obvious than answers having to do with the 2nd or 3rd stages.",,,,"Focal Bias, Self and Egocentric Processing","The Cognitive Miser (Focal Bias), Contaminated Mindware (Self and Egocenric Processing)"
Reactance,,,Reactance refers to an emotional reaction in direct contradiction to imposed rules that are perceived to threaten one's behavioral freedoms. Such a reaction can cause people to adopt or strengthen views that contradict the imposed rules.,"[first two sentences here are taken from description column: There are four important elements to reactance theory: perceived freedom, threat to freedom, reactance, and restoration of freedom. Freedom is not an abstract consideration, but rather a feeling associated with real behaviors, including actions, emotions, and attitudes. ] One study concluded that one way to increase the activity of a threatened freedom is to censor it, or provide a threatening message toward the activity. In turn a ""boomerang effect"" occurs, in which people choose forbidden alternatives. This study also shows that social influence has better results when it does not threaten one's core freedoms. Two concepts revealed in this study are that a communicator may be able to increase the positive force toward compliance by increasing his or her credibility, and that increasing the positive communication force and decreasing the negative communication force simultaneously should increase compliance.","This would need rewording and since it doesn't specify the particular studies I'd probably want to go find the studies it was citing. But for now, this is all from https://en.wikipedia.org/wiki/Reactance_(psychology)","For example, many people appear to have directly contradicted public health advice and rules regarding mask-wearing (to reduce the spread of the SARS-CoV-2 virus).","react, contradiction, rules, freedom, resist",2. Desires,,"To overcome or avoid this phenomenon, it may help to ask a trusted community-member to communicate behavioral change goals or requests. It may also help to frame communication in the most positive way possible. ",cognitive bias,http://en.wikipedia.org/wiki/Reactance_%28psychology%29,,, ,,,,,
Recency Effect,,,The Recency Effect refers to a tendency to weigh recent events more heavily than earlier events. ,"[taken from description column, the next sentences seem more related to theories that might be able to be tested, rather than descriptions of the effect itself.] There are two models that may explain this effect. The Duo Store Model suggests that items stored in short term memory are more readily accessible, and therefore the most recent information a person has reviewed will be most available and weighed most heavily. The Single Store Model suggests that either recent information is most distinct or that it is most closely associated with the ""test"" where the information is needed, and therefore most recent information is more easily accessible.","I think this can be deleted because it doesn't refer to any specific studies. (It was just expanding on the description, and I moved it into this column when going through the descriptions.) ",,"recent, earlier, events, weigh",4. Remembers,"1. Considers, 2. Desires, 3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To leverage this effect, it may help to consider it when planning interventions raising awareness of a particular desired behavior (or raising awareness of the benefits from, or methods for starting or maintaining, a given action). Other things being equal, the Recency Effect implies that the information most critical to behavior change should be presented last. (However, intervention designers may also wish to consider the Primacy Effect, which suggests that it is also helpful to present some key information at the start of informational materials, rather than only at the end.) ",cognitive bias,http://en.wikipedia.org/wiki/Recency_effect#Recency_effect,,,,,,,,
Red Herring Fallacy,,,"The Red Herring Fallacy refers to the introduction of irrelevant, distracting information to an argument. ",,,"For example, if one friend is trying to encourage another one to become more physically active, the more sedentary friend might say, ""I'm just busier with work than you are. What about our other friends, who do far worse things than just being caught up with work? Why don't you go tell them to change their behavior?""","irrelevant, relevant, distract, information, argument",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome this fallacy, it may help to point out this fallacy when it occurs and to refocus on the argument at hand. Additionally, intervention designers (and anyone else trying to support others to change their behavior) should avoid engaging in this fallacy in the first place due to the risk that it would detract from otherwise valid arguments. 
(See also: Irrelevant Conclusion Fallacy. Strategies that are useful there may also be helpful here.)",rhetorical fallacy,,,rhetological fallacies spreadsheet,,,,,,
Restraint Bias,,,Restraint Bias refers to a tendency to overestimate one's ability to show restraint in the face of temptation.,,,"For example, someone may decide to quit smoking when halfway through a packet of cigarettes. Due to Restraint Bias, they may overestimate the degree to which they will be able to restrain themselves from having more cigarettes from the already-available packet and may therefore not consider it necessary to throw the remaining cigarettes away.","restraint, estimate, ability, temptation",3. Intends,10. Maintains,"To overomce this bias, it may help to recall how one has responded to the previous situations where temptation arose and to plan accordingly. It might also help to design behavior change plans that do not rely on self-restraint. ",cognitive bias,http://en.wikipedia.org/wiki/Restraint_bias,,,,,,,,
Retrospective Determinism Fallacy,,,"Retrospective Determinism Fallacy refers to the fallacious assumption that something was always bound to happen, merely because it has now happened.",,,"For example, someone may assume that they were always bound to fail at a particular behavior change if Retrospective Determinism Fallacy comes into play when reflecting on a recent slip-up in their behavior change efforts.
","inevitable, determinism, retrospection, event",10. Maintains,,"To overcome Retrospective Determinism Fallacy, especially if it appears to be adversely affecting someone's reasoning, it could help to point this out and encourage them to reconsider their assumptions. To reduce the chance that this fallacy happens in the first place, one might keep a diary documenting their predictions of different outcomes over time (one can then return to previous entries to remind oneself that other outcomes were possible). ",logical fallacy,http://en.wikipedia.org/wiki/retrospective_determinism,,,,,,,,
Rosy Retrospection in Memory,,,Rosy Retrospection refers to a tendency for people to perceive past events more positively than they had perceived them at the time they initially experienced them. Rosy Retrospection appears to be more pronounced with moderately pleasant events (where minor annoyances and downsides seem to fade from memory more dramatically than positive aspects of events).,"[taken from description column, the following sentences are partly just expanding on the description in more detail, and partly addressing a related concept of reference class forecasting] This is reminiscent of the Latin phrase ""memoria praeteritorum bonorum"" (""the past is always recalled to be good"").

The effect appears to be stronger with moderately pleasant events and is usually explained as a result of minor annoyances and dislikes ""fading"" from memory dramatically faster than positive situations.

Reference class forecasting (the method of predicting the future, through looking at similar past situations and their outcomes) was developed to eliminate or reduce the effect of rosy retrospection in decision-making.","I think this can be deleted because it doesn't refer to any specific studies. (It was just expanding on the description, and I moved it into this column when going through the descriptions.) If included, this would probably need to cite specific studies. For now, ""The effect..."" sentence is from https://psychology.wikia.org/wiki/Rosy_retrospection and the next sentence is from https://en.wikipedia.org/wiki/Selective_perception",,"nostalgia, retrospection, past, positive",10. Maintains,,"To overcome Rosy Retrospection, especially if it appears to be adversely affecting someone's reasoning, it could help to point this out and encourage them to reconsider their assumptions. To reduce the chance that this fallacy happens in the first place, one might keep a diary documenting one's experiences over time (so that one can return to previous entries to remind oneself of the reality of past experiences). Avoiding Rosy Retrospection may be particularly helpful for ensuring the Maintains condition continues to be met. (Otherwise, the person may be at risk of becoming demotivated if they believe that things were better before changing their behavior.)
(See also: Fading Affect Bias in Memory.) ","memory bias, bias, positivity, cognitive bias",http://en.wikipedia.org/wiki/Rosy_retrospection,,,,,,,,
Selective Perception,,,"Selective Perception refers to perception that is biased towards remaining congruent with one's existing beliefs. (Note that this differs from the Semmelweis Reflex (the tendency to reject evidence that contradicts one's beliefs) in that this bias specifically affects *perception*, not reasoning.)","For instance, several studies have shown that students who were told that they were consuming alcoholic beverages (which in fact were non-alcoholic) perceived themselves as being ""drunk"", exhibited fewer physiological symptoms of social stress, and drove a simulated car similarly to other subjects who had actually consumed alcohol. The result is somewhat similar to the Placebo Effect.","This would need rewording and since it doesn't specify the particular studies I'd probably want to go find the studies it was citing. But for now, this is from https://en.wikipedia.org/wiki/Selective_perception","For example, someone may have a strong prior belief that a particular behavior change will be challenging; this may cause them to pay more attention to evidence that seems to support this belief while failing to recognize counter-evidence.","selective, perception, congruent, beliefs",1. Considers,"2. Desires, 3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome this tendency, it may help to develop positive expectations about successfully adopting a desired behavior and enjoying positive outcomes. Selective Perception may then enhance self-efficacy and increase the degree to which one notices positive results from the behavior in question.",cognitive bias,http://en.wikipedia.org/wiki/Selective_perception,,,,,"See if labeling certain questions as ""difficult"" on some tests causes test takers to do more poorly on those questions than test takers who answer the questions without the label.

Danger that they would spend more time on question's (or less) when labeled difficult which could work as a confounder",,,
Self-Serving Bias,,,Self-Serving Bias refers to a cognitive bias whereby people tend to attribute their successes to internal or personal factors while attributing their failures to situational factors beyond their control. ,"[taken from description column, these next sentences represent more explanations than descriptions of the bias.] The Self-serving Bias can be seen in the common human tendency to take credit for success but to deny responsibility for failure. There are several possible causes of this bias. People are motivated to protect their self-esteem; they may be attempting to protect their reputation by advertising successes and shifting blame for failures publicly, regardless of their true understanding of the situation. Additionally, success may be more readily available to memory than failure.","I think this can be deleted because it doesn't refer to any specific studies. (It was just expanding on the description, and I moved it into this column when going through the descriptions.)","For example, suppose someone aims to engage in five 30-minute sessions of aerobic exercise per week. If they fail to do this in a given week, they may attribute their failure to external factors such as work and family commitments, weather conditions, and so on. They may also overlook the contributions of internal factors, such as time management, motivation levels, and procrastination.","attribute, ascribe, success, failure, personality, character, situation",8. Has,"2. Desires, 3. Intends, 5. Believes, 6. Chooses, 9. Embodies, 10. Maintains","To overcome this bias when it is suspected to be counterproductively influencing someone's behavior, it may help to point out the other factors that can contribute to specific outcomes (beyond the factors that the person is assuming to be involved). When someone has failed at something, they may benefit from acknowledging and learning from the ways in which their personal characteristics could have contributed to that failure. And when someone has succeeded at something, it might help their future chances of success if they recognize the situational factors that contributed to their success (e.g., so that they can try to recreate these in the future). (There are some similarities between this bias and the Illusion of Control. Self-serving bias, however, differs in how people respond to failure, so it presents different obstacles to behavioral change compared to the Illusion of Control.) ",cognitive bias,http://en.wikipedia.org/wiki/Self-serving_bias,,,,,,,,
Semmelweis Reflex,,,The Semmelweis Reflex refers to a tendency to reject new evidence that contradicts established beliefs or paradigms.,"History of term [taken from old 'description column, which looks like it's from wikipeida] - It refers to Ignaz Semmelweis, who discovered that childbed fever mortality rates could be reduced ten-fold if doctors would wash their hands (we would now say disinfect) with a chlorine solution between having contact with infected patients and non-infected patients. His hand-washing suggestions were rejected by his contemporaries.","If we just wanted to give an overview of the historical origins of experiment demonstrations of this error, then it seems fine to just reword this. But currently, this seems to be from https://mythfighter.com/about/ [When I was going through this, it was originally in description column, and I found very similar content in Wikipedia. But Grammarly found it here: https://mythfighter.com/about/ ]","For example, suppose someone has been taking the same route to work every day for over a year and firmly believes that it's the most efficient route available. They may then disbelieve any evidence someone presents to them to show that there is a shorter path. ","reject, new, evidence, contradict, established, belief, paradigm",2. Desires,"1. Considers, 3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome this reflex, it might help to show people how a new behavior is better-aligned with their values and goals than their old behavior.",cognitive bias,http://en.wikipedia.org/wiki/Semmelweis_reflex,,,,,,,,
Slippery Slope Argument,,,"Slippery Slope Arguments are those based on the idea that a (relatively small) first step will lead to a chain of related, more significant (and usually undesirable) events.",,,"For example, someone who opposes the legalization of marijuana may argue that it would inevitably lead to people using ""harder"" drugs more frequently, which might, in turn, lead to a decision to legalize those more harmful drugs as well. ","slippery, slope, chain, small, large, significant, accelerate",10. Maintains ,"2. Desires, 3. Intends, 5. Believes, 6. Chooses","To overcome this form of argument, it may help to point out when it is occurring and to show how it counterproductively influences behavior. It may also help to offer alternative ways of thinking about the situation in question. If taken to the extreme, the slippery slope argument may predispose someone to [all-or-nothing thinking](https://en.wikipedia.org/wiki/Cognitive_distortion#All-or-nothing_thinking) and/or with [catastrophizing](https://en.wikipedia.org/wiki/Exaggeration#Cognitive_distortions). In such cases, one could challenge the flawed belief with more accurate information or encourage the person to seek professional help (especially if the reasoning is detrimentally impacting their life). Over the longer-term, one could encourage the person to practice thinking more probabilistically; this might reduce their tendency to engage in Slippery Slope Arguments in situations where it is not warranted.",logical fallacy,,,rhetological fallacies spreadsheet,,,,,,
Social Comparison Bias,,,"Social Comparison Bias refers to the tendency observed when some people make hiring decisions, whereby they tend to favor potential candidates who do not compete with their own perceived strengths.",,,,"social, compare, compete, strength, hire, candidate",2. Desires,,"To overcome this bias, those making hiring decisions should judge candidates' skills according to how well they meet the role requirements (rather than how they compare to the hiring manager's strengths). It might help to remind the hiring manager to avoid this bias or to use objective criteria for evaluating applicants wherever possible.",cognitive bias,http://en.wikipedia.org/wiki/Social_comparison_bias,,,,,,,,
Spotlight Fallacy,,,"The Spotlight Fallacy refers to the fallacious assumption that most members or cases of a particular class or type are similar to those that receive the most attention (for example, via media coverage).",,,"For example, someone might think that: ""Most therapists just sit there and listen to you or insist on asking you questions about your feelings about your parents.""","spotlight, member, group, attention, similar",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 7. Knows, 8. Has, 10. Maintains.","To overcome this fallacy in the longer-term, one could practice probabilistic thinking. It might also help for people to learn about the [hierarchy of evidence](https://en.wikipedia.org/wiki/Hierarchy_of_evidence). (Anecdotal evidence (which is what people often rely upon when falling prey to the Spotlight Fallacy) is a low level of evidence; where possible, it is preferable to draw on information from randomized controlled trials (RCTs), systematic reviews, or (ideally) meta-analyses of RCTs.) 
Another longer-term solution to the Spotlight Fallacy might be to practice fostering epistemic humility: one could practice realizing that one can be wrong. It may help to practice subjecting all statements and beliefs to scrutiny using evidence and reasoning. 
(See also: Hasty Generalizations. Similar strategies could be useful for the Spotlight Fallacy as for Hasty Generalizations.) ",logical fallacy,http://en.wikipedia.org/wiki/spotlight_fallacy,,,,,,,,
Status Quo Bias,,,"Status Quo Bias refers to a cognitive bias favoring the maintenance of the current state of affairs (i.e., the status quo) over alternative options (i.e., over departures from the status quo). ","The US states of New Jersey and Pennsylvania inadvertently ran a real life experiment providing evidence of the Status Quo Bias in the early 1990s. As part of Tort law reform programs, citizens were offered two options for their automotive insurance: an expensive option giving them full right to sue, and a less expensive option with restricted rights to sue. In New Jersey the cheaper option was the default and most citizens selected it, while only a minority chose it in Pennsylvania where the more expensive option was the default. Similar effects have been shown for contributions to retirement plans, choice of internet privacy policies and the decision to become an organ donor.","If we just wanted to give an overview of the historical origins of experiment demonstrations of this error, then it seems fine to just reword this. But currently, this seems to be from https://en.wikipedia.org/wiki/Status_quo_bias ","For example, Status Quo Bias may increase the probability that people do not update their current privacy settings on a social networking site, even if the settings might be detrimental to them or their career.","status quo, current, maintain, same, change",2. Desires,"3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overomce this bias, it might help to set defaults that encourage the adoption of the target behavior. One can also provide strong incentives for the adoption of the target behavior. 
Status Quo Bias might be worth considering and planning for whenever a behavior change represents a deviation from the status quo. In such situations, it may help to invest extra time and effort into motivating people to desire the new behavior; this might be done by showing how the current situation is undesirable or by showing how the new behavior mitigates harms and provides benefits.",cognitive bias,http://en.wikipedia.org/wiki/Status_quo_bias,,,,,,,,
Stereotyping,,,Stereotyping refers to the tendency to expect a member of a group to have particular characteristics without having information about that individual (beyond the knowledge that they belong to that group).,,,,"stereotype, group, member, individual, characteristics",2. Desires,"1. Considers, 3. Intends, 5. Believes, 6. Chooses, 10. Maintains","To overcome the counterproductive effects of Stereotyping on someone's behavior, it could help to point out its negative impacts. One could also encourage people to focus on the behavior itself, rather than the people or organization(s) they associate (or don't associate) with it. 

To address the problem of Stereotyping in the longer-term, the general strategies addressing Hasty Generalizations might be helpful. One could encourage people to think in more nuanced ways about groups of people in the world. To help with this, people could practice probabilistic reasoning and could develop an understanding of probability distributions. It may also be advisable to consider the negative social impacts of Stereotyping. 

(Note: there are some similarities between these strategies and those targeting Guilt by Association and Appeal to Spite fallacy. Those strategies focus on negative stereotypes, though, rather than the process of Stereotyping in general.)",cognitive bias,http://en.wikipedia.org/wiki/Stereotyping,,,,,,,,
Straw Man Fallacy,,,"Straw Man Fallacy refers to the strategy of responding to a weak version of an opponent's position, that they don't actually believe, rather than responding to the opponent's original position (which may have been more difficult to refute).",,,"For example, someone may argue that their chronically tired friend should aim to sleep more than 6 hours per night, and the friend may respond by saying, ""I can't sleep all day - I have things to do!"" (This would represent a response to a very weak version of the argument (that the person should sleep all day), rather than the original argument, which was simply that they should try sleeping more than 6 hours a night.)","weak, opponent, argument, strong",2. Desires,"1. Considers, 3. Intends, 5. Believes, 6. Chooses ","When attempting to overcome this fallacy, the best approach to take might depend on how strongly the person holds their opposing beliefs. If they hold their beliefs strongly, then similar strategies might be useful as those for Wishful Thinking and the Appeal to Consequences Fallacy. In cases where the backfire risk is deemed to be sufficiently low, it may be worth encouraging the person to practice actively considering the reasons that arguments in opposition to their own could actually turn out to be true. An example of this could be trying to find the best ways of supporting an opposing argument, which can be called ""steel-manning"" the argument ([Mattes, 2020](https://search.informit.com.au/fullText;dn=077923104428244;res=IELENG)).

To overcome this tendency in the longer-term, it might help to practice activey considering (rather than dismissing) alternative points of view. This can foster epistemic/intellectual humility, which might be useful for addressing many of the other cognitive biases in this list. In addition to increasing the degree to which people engage with alternative points of view, intellectual humility has been associated with rising to challenges, and persisting after setbacks ([Porter et al. 2020](https://www.sciencedirect.com/science/article/abs/pii/S1041608020300686?casa_token=sJNl4ThLbWUAAAAA:E8U8KRkr11qvyWjYzRoIIiR8SaC_J2L9rML1N-a1qBt0CgNVIEPjWli410B7hb0ONUG7HtQ8x-8)), which could be useful for behavior change. ",rhetorical fallacy,http://en.wikipedia.org/wiki/straw_man,,,,,,,,
Subadditivity,,,Subadditivity refers to the tendency to judge the probability of the whole to be less than the sum of the probabilities of the component parts.,"For instance, subjects in one experiment judged that the probability of death from cancer in the United States was 18%, the probability from heart attack was 22%, and the probability of death from ""other natural causes"" was 33%. Other participants judged that the probability of death from a natural cause was 58%. Natural causes are made up precisely of cancer, heart attack, and ""other natural causes,"" however, the sum of the latter three probabilities was 73%, and not 58%. According to Tversky and Koehler (1994) this kind of result is observed consistently.","Doesn't look like it was copy-pasted. Yay! The wording seems like it doesn't need to be changed. But I wonder if we need to go and find the study and link to it every time we cite a study? (If so, would need to find & add link.)","For example, your company makes a web app to which people can subscribe at one of three monthly price tiers. You know that 15% of people who visit your site sign up for a Tier 1 plan, 10% sign up for a Tier 2 plan, and 5% sign up for a Tier 3 plan. Therefore, you know that 30% of people who visit the site sign up for one of the plans. Your boss, however, believes erroneously that only around 10% of people who visit the site sign up for one of the plans, perhaps because he's thinking of an average of the three signup rates.","probability, total, sum, parts",5. Believes,"2. Desires, 3. Intends, 6. Chooses, 10. Maintains","To overcome this error in reasoning, it might help to systematically estimate the probabilities of individual outcomes before calculating the probability of a supercategory of outcomes. So, rather than estimating the probability of the _overall_ categories of outcomes, it would be preferable to evaluate the chances of individual mutually exclusive outcomes first and _then_ to use those estimates to derive estimates of the probabilities of overall categories.",cognitive bias,http://en.wikipedia.org/wiki/Subadditivity_effect,,,,,"Ask about the probability of something happening (e.g., dying in next twenty years) in one part of test, then ask about the probability of specific instances of that thing happening later in the test (e.g., dying of cancer, dying in a car accident, etc. in the next twenty years) and see if they add up to more than the initial probability. Would be difficult to do this without the test taker catching on to what you're doing...",,,
