PURPOSE OF METHOD:,METHOD NAME:,DESCRIPTION / IMPLEMENTATION STRATEGY:,TEN CONDITIONS FOR CHANGE,TEN CONDITIONS FOR CHANGE SUB-CATEGORY,Edits,Comment for Belen,Belen's comments,,SUBCATEGORY:,GROUPING:,REQUIRES:,SOURCE:,URL:,WE PREDICT EFFECTIVE,GUIDEDTRACK LINK:,RELEVANT TO LTG PROGRAM (per Doug)?,KEYWORDS,Original order (do NOT change these numbers)
,EMOTIONAL SELF-REGULATION,"Learning to notice your own negative reactions related to stigma, and committing to force yourself to exert conscious control over these impulsive negative reactions once you notice them.",6. Chooses,EMOTIONAL STATE,0. No edits needed,,Understanding that this is a specific intervention to address discrimination,,,,Mere suppression almost always leads to counterproductive effects and is not advisable. Conscious self-regulation of automatic stereotyping can be used effectively.,"Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,no,"emotional, emotionally, emotions, emotion, psychological, feelings, chooses, mental, spiritual, subjective",374
,SYSTEMS CHANGE,"Interacting with the environment to change the elements and relationships among elements of a system at any level, especially through dialogue with stakeholders, action, and learning through feedback.",,,5. To be deleted,,Too generic,,,,Methods and actors depend on the level of the system.,"""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Systems Theory: Best et al., 2012; National Cancer Institute, 2007)",,,,no,,375
,PARTICIPATORY PROBLEM-SOLVING,"Diagnosing the problem, generating potential solutions, developing priorities, making an action plan, and obtaining feedback
after implementing the plan.",,,,,Is it too generic?,,,,"Requires willingness by the health
promoter or convener to accept the participants as equals and as having a high level of influence; requires target group to possess appropriate motivation and skills. Will often include goal setting, facilitation, feedback and consciousness raising.","""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Organizational Development Theories; Social Capital Theory;
Models of Community Organization; Butterfoss, Kegler, & Francisco, 2008;
 Cummings & Worley, 2015; Wallerstein, Minkler, Carter-Edwards, Avila,
& Sanchez, 2015)",,,,in use,,376
,COERCION,Attempting to control others against their will.,,,,probably not worth including in the final framework,,,,,Requires or creates a power differential.,"""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Theories of Power; Freudenberg & Tsui, 2014; Turner, 2005)",,,,no,,377
,ADVOCACY AND LOBBYING,Arguing and mobilizing resources on behalf of a particular change; giving aid to a cause; active support for a cause or position.,,,,seems too vague to be useful,,,,,"Form of advocacy must match style and tactics of the people, communities or organizations represented, and the nature of the issue; includes policy advocacy; often tailored to a specific environmental agent. Will often include persuasive communication, information about others’ approval and consciousness raising.","""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Stage Theory of Organizational Change; Models of Community
Organization; Agenda-Building Theory; Multiple Streams Theory;
Christoffel, 2000; Galer-Unti, Tappe, & Lachenmayr, 2004; Kingdon, 2003;
 Wallack, Dorfman, Jernigan, & Themba, 1993; Weible, Sabatier, &
McQueen, 2009)",,,,no,"active, support, for, a, cause, or, position",378
,MODELING,Provide an appropriate model being reinforced for the desired action.,2. Desires,SOCIAL INFLUENCE,0. No edits needed,,,,,,"Appropriate models will vary by level, including group members and organizational, community, and policy change agents.","Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,in use,"modeling, model, models, variational, desires, influence, social, simulations, simulation, designing",379
,REAL-TIME ASSISTANCE,Provide real-time assistance to the user if they get stuck when they are performing the action.,9. Embodies,SUPPORT,0. No edits needed,,,,,,"Nature of technical assistance will vary by environmental level, but must fit needs, culture, and resources of the recipient.","Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,no,"support, assistance, supports, recognizes, supporting, understands, help, aid, supported, fulfill",380
,MASS MEDIA ROLE-MODELING,Providing appropriate models being reinforced for the desired action through the mass media.,,,5. To be deleted,,Included in modeling ,,,,Conditions for modeling; conditions for persuasive communication (see Table 1).,"""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Bandura, 1997; Rogers, 2003)",,,,no,,381
,ENTERTAINMENT EDUCATION,Provide a form of entertainment designed to educate (about health behavior) as well as to entertain.,1. Considers,MEDIUM,0. No edits needed,,,,,,Consideration of source and channel; balance of media professional’s and health promoter’s needs.,"Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,no,"medium, entertainment, educational, education, arts, considers, enterprise, multimedia, music, broadcasting",382
,BEHAVIORAL JOURNALISM,Use the mass and local media of appropriate role-model stories of behavior change based on authentic interviews with the target group.,2. Desires,SOCIAL INFLUENCE,0. No edits needed,,,,,,Adequate role models from the community and elicitation interviews to describe the behavior and the positive outcome.,"Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,no,"social, journalism, psychology, societal, behaviors, behavior, cognitive, activism, education, attitudes",383
,MOBILIZING SOCIAL NETWORKS,"Encouraging social networks to provide informational, emotional, appraisal, and instrumental support.",,,5. To be deleted,,Same as #361,,,,"Availability of social network and potential support givers. Will often include information about others’ approval, facilitation and persuasive communication.","""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Theories of Social Networks and Social Support; Social norm
theories; Valente, 2012)",,,,in use,,384
,ENHANCING NETWORK-LINKAGES,Training network members to provide support and members of the target group to mobilize and maintain their networks.,,,0. No edits needed,,Maintains - very similar to the others,,,,Available network.,"Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,no,,385
,"DEVELOPING NEW SOCIAL
NETWORK LINKAGES","Linking members to new networks by mentor programs, buddy systems, and self-help groups.",7. Knows,LEARNING SUPPORT,0. No edits needed,,,,,,Willingness of networks to reach out; availability of networks that can provide appropriate support and linkage agents.,"Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,no,"learning, communication, understanding, linkage, connections, interaction, relationships, knowledge, links, connecting",386
,USE OF LAY HEALTH WORKERS,"Mobilize members of the target population to serve as boundary spanners, credible sources of information, and role models.",2. Desires,SOCIAL INFLUENCE,0. No edits needed,,,,,,opinion leader status and availability to volunteer for training.,"Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,no,"desires, influence, social, societal, aspirations, preferences, influences, interests, desire, motivations",387
,SENSE-MAKING,"Leaders reinterpret and relabel processes in organization, create meaning through dialogue, and model and redirect change.",,,5. To be deleted,,Too vague,,,,"Used for continuous change, including culture change.","""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Organizational Development Theory; Weick & Quinn, 1999)",,,,no,,388
,"ORGANIZATIONAL DIAGNOSIS
AND DIAGNOSIS ","Assessing of organizational structures and employees’ beliefs and attitudes, desired outcomes and readiness to take action, using surveys and other methods.",,,,seems too vague to be useful,,,,,"Methods appropriate to organizational characteristics, for example, size and information technology. Will often include feedback and consciousness raising.","""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Organizational Development Theory; Cummings & Worley, 2015)",,,,no,,389
,"TEAM BUILDING AND HUMAN
RELATIONS TRAINING","Group development activities based on the values of human potential, participation, and development.",,,,seems too vague to be useful,,,,,Compatible with the culture.,"""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Organizational Development Theory; Cummings & Worley, 2015)",,,,no,,390
,STRUCTURAL REDESIGN,"Change organizational elements such as formal statements of organizational philosophy, communication flow, reward systems, job descriptions, and lines of authority.",,,,seems too vague to be useful,,,,,Management authority and agreement.,"""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Organizational Development Theory; Cummings & Worley, 2015;
Jones, 2004)",,,,no,,391
,"STAKEHOLDER
INFLUENCE","Increase stakeholder power, legitimacy, and urgency by forming coalitions and using community development and social action to change an organization’s policies.",2. Desires,SOCIAL INFLUENCE,0. No edits needed,,,,,,The focal organization perceives that the external organization or group is one of its stakeholders.,"Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,no,"influence, influences, desires, exert, influenced, social, societal, perceptions, preferences, motivations",392
,PROBLEM-POSING EDUCATION,"Participatory analysis using critical reflection, self-disclosure, and dialogue regarding the social forces underlying a problem and a commitment to change self and community.",,,,,,,,,A safe environment for participation and disclosure; a critical stance.,"""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Conscientization Theory; Empowerment Theory; Freire, 1973a,
 1973b; Wallerstein, Sanchez, & Velarde, 2004)",,,,no,,393
,COMMUNITY ASSESSMENT,"Assessing a community’s assets and needs, with feedback of results to the community.",,,,seems too vague to be useful,,,,,Requires expert assistance and possibilities for feedback.,"""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Models of Community Organization; Rothman, 2004)",,,,no,,394
,COMMUNITY DEVELOPMENT,"A form of community organization, based on consensus, in which power is shared equally and members engage together in participatory problem solving.",,,,not really relevant,,,,,"Starting where the community is; may be grassroots or professional driven. Will often include consciousness raising, facilitation, goal setting and information about others’ approval.","""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Models of Community Organization; Theories of Power;
Minkler & Wallerstein, 2012; Rothman, 2004; Wallerstein et al., 2015)",,,,no,,395
,SOCIAL ACTION,"A form of community organization, based in conflict, in which disenfranchised people wrest power from the official power.",,,5. To be deleted,included in increasing stakeholder influence,,,,,"Starting where the community is; may be grassroots or professional driven. Will often include consciousness raising, persuasive communication, information about others’ approval and modeling.","""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Theories of Power; Stakeholder Theory; Kok et al., 2015;
Minkler & Wallerstein, 2012; Rothman, 2004; Wallerstein et al., 2015)",,,,no,,396
,FORMING COALITIONS,"Forming an alliance among individuals or organizations, during which they cooperate in joint action to reach a goal in their self-interest.",8. Has,PREPARATION,0. No edits needed,,,,,,"Requires collaboration across various agendas; requires attention to stages of partnership development. Will often include persuasive communication, consciousness raising, goal setting, facilitation and information about others’ approval.","Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,no,"forming, preparation, coalition, organizing, factions, preparations, prepare, formation, unity, parties",397
,SOCIAL PLANNING,Using information based on research to address issues.,,,4. Remove from Ten Conditions for Change,,,,,,Requires credible source of the information.,"""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (models of Community Organization; Rothman, 2004)",,,,no,,398
,FRAMING TO SHIFT PERSPECTIVE,"Assign meaning and interpretation to relevant events and conditions in order to mobilize potential constituents, gain bystander support, and demobilize antagonists.",2. Desires,COHERENCE,0. No edits needed,"I think this could be tweaked to a Desires strategy - basically, putting a framing, narrative or story around recent events that people are already aware of in order to mobilize them to take action.",,,,,Match with culture.,"Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,in use,"coherence, coherent, clarity, rationality, praxis, sense, gestalt, contexts, relevance, telos",399
,MASS MEDIA ADVOCACY,Expose behaviors of the target population in the mass media to encourage them to change behavior.,1. Considers,MEDIUM,0. No edits needed,This could be a good considers strategy - basically getting the media to write about a topic relevant to the behavior change (e.g. how a certain food is unhealthy),,,,,Requires the media to approve the news value of the message and accept the message without changing its essential content.,"Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,no,"medium, considers, mass, constitutes, media, small, enterprise, perceives, social, mainstream",400
,AGENDA SETTING,Process of moving an issue to the political agenda for action; may make use of broad policy advocacy coalitions and media advocacy.,,,,not really relevant,,,,,Requires appropriate timing (see policy window) and collaboration of (media) gatekeepers. Will often include persuasive communication and consciousness raising.,"""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Multiple Streams Theory, Advocacy Coalition Theory, Theories
of Power; Clavier & de Leeuw, 2013; Sabatier, 2003; Weible et al., 2009;
Weible, 2008)",,,,no,"agenda, setting",401
,TIMING TO COINCIDE WITH POLICY WINDOWS,"Advocating policy when politics, problems and policy solutions are aligned to be receptive to a policy issue so that the government provides resources needed to perform the action.",,,5. To be deleted,could be merged into the regulation/law making strategy probably,,,,,Requires an astute policy advocate who is well prepared,"""A Taxonomy of Behavior Change Methods; an Intervention Mapping
Approach"" (Multiple Streams Theory; Kingdon, 2003; Zahariadis, 2007)",,,,no,,402
,LAWS AND REGULATIONS,Use laws and regulation to accomplish change by forcing compliance or dictating choices. Laws and regulations may also provide incentives.,2. Desires,PUNISHMENT,0. No edits needed,,,,,,Requires unequal power and availability of control and sanctions.,"Kok, G., Gottlieb, N. H., Peters, G.-J. Y., Mullen, P. D., Parcel, G. S., Ruiter, R. A., … Bartholomew, L. K. (2015). A taxonomy of behaviour change methods: an Intervention Mapping approach. Health Psychology Review, 10(3), 297–312. doi: 10.1080/17437199.2015.1077155",,,,no,"punishment, punishments, regulations, laws, rules, statutes, mandates, punish, law, requirements",403
,SELF-INTEREST,"Explain clearly how the person will benefit from doing the behavior based on what they care about getting. So, if the person cares about making more money, you could explain they will get more money from doing the behavior. This can be the same explanation for everyone (if the person tends to share selfish desires) or can be customized based on the desires of the specific person.",2. Desires,INTRINSIC BENEFITS,0. No edits needed,,,,,,,,,,,,"desires, intrinsic, benefits, inherent, desire, preferences, societal, essence, innate, intrinsically",404
,APPEAL TO NEWNESS,Explain that it's something new (people want to try new things).,2. Desires,PRIMAL DESIRE,0. No edits needed,,,,,,,,,,,,"desires, desire, primal, lust, passion, innate, senses, curiosity, passions, instinct",405
,Consciousness-Raising,"increase your level of knowledge and awareness around the issue in question so that you're better equipped to make good decisions about it. This strategy can involve arriving at deep revelations about yourself during therapy sessions, or something as simple as learning more about how to effectively balance diet and exercise for weight loss purposes.

Possible forms of Consciousness-Raising:

Developing new interpretations of your thoughts, feelings or behavior with a therapist's help

Learning more about how to navigate the world (e.g. financial info, info about how to seek mental health treatment, etc.)

Revelations about the consequences of your behaviors or beliefs (e.g. realizing that you take your problems out on people, and that this behavior undermines your personal relationships)

Picking up technical information that may be useful in pursuing a behavior goal (e.g. how to use the implementation intentions strategy for forming new habits) ",,,5. To be deleted,,Too general to be a specific intervention,,,,,"https://www.clearerthinking.org/single-post/2017/06/07/9-strategies-therapists-use-to-change-behaviors - based on book ""Changing For Good""",,,,,,406
,Social Liberation,"In many cases, the circumstances of daily life — the types of environment you operate in and the behaviors considered acceptable in those environments — can help or hinder efforts to change your behavior. Consider, for example, how difficult it would be to quit smoking if you spent all of your time in places where many people around you were smoking regularly. The Social Liberation strategy aims to facilitate positive behavior change by changing the social environment to make such changes easier, typically by altering the legal / regulatory frameworks that govern public behavior. In the case of smoking in the United States, Social Liberation has taken the form of indoor smoking bans and restrictions on where people can smoke outside.



Possible forms of Social Liberation:

Top-down public health policy interventions (e.g. smoking ban laws)

Efforts to change social mores (e.g. increasing the social acceptance of trans people)

Specifically choosing environments that support a behavior change (e.g. avoiding bars)

Relocating to a region with more compatible values (e.g. moving to a city where homosexuality is more accepted)",,,,,A group of strategies already in the database,,,,,"https://www.clearerthinking.org/single-post/2017/06/07/9-strategies-therapists-use-to-change-behaviors - based on book ""Changing For Good""",,,,,,407
,EMOTIONAL AROUSAL,"Evoke a strong emotional experience related to the problem at hand, so that the person desires to adopt a new behavior. For example, if that person lost a friendship over a bad habit, encourage them to explore their negative feelings. Sharing powerful personal stories may also evoke an emotional arousal that leads to a behavior change.",2. Desires,NEGATIVE EMOTIONS,0. No edits needed,,,,,,,"Ross, B., & Mahmoud, O. (2018). Change for good: using behavioural economics for a better world. Lewes: =mc The Management Centre.",https://www.clearerthinking.org/single-post/2017/06/07/9-strategies-therapists-use-to-change-behaviors,,,,"emotions, emotional, feelings, emotion, desires, emotionally, anxiety, passions, impulses, grief",408
,Self-Reevaluation,"Sometimes the key to changing your behavior is to consider what kind of person your current behavior makes you, what kind of person you'd like to be, and how adopting new behaviors might help you achieve that goal. This process of frank emotional reflection on your current state and how it differs from your preferences is the crux of the Self-Reevaluation strategy. As Changing For Good puts it, this process often entails asking yourself a series of difficult questions: ""How do you perceive yourself as a gambler, a drinker, or a sedentary person? How do you see yourself if you change your behavior? What will be the cost of that change, in time, energy, pleasure, stress, or image? What, overall, are the pros and cons of trying to overcome your problem?""



Possible forms of Self-Reevaluation:

Value clarification (e.g. putting your priorities in a new order)

Future visualization (e.g. ""what will I be like after I make this change?"")

Pros vs. cons analysis",,,5. To be deleted,,This strategy is a combination of others that are already on the list,,,,,"https://www.clearerthinking.org/single-post/2017/06/07/9-strategies-therapists-use-to-change-behaviors - based on book ""Changing For Good""",,,,,,409
,Commitment,"Ultimately, only you can change your own behavior. This fact can make behavior change attempts seem daunting, but it also creates an opening that can actually help you push yourself to reshape your ways. The Commitment strategy involves announcing your intentions to the public or to members of your social circle. By doing so, you commit your social credibility to achieving your goal — thereby creating a powerful incentive to follow through and avoid the shame of public failure. New Year's Resolutions are a common Commitment strategy example.



Possible forms of Commitment:

Resolutions

Publicly tracking behavior change performance (e.g. social fitness apps)

Frequently discussing behavior change efforts with friends / colleagues",,,5. To be deleted,,A group of strategies already in the database,,,,,"https://www.clearerthinking.org/single-post/2017/06/07/9-strategies-therapists-use-to-change-behaviors - based on book ""Changing For Good""",,,,,,410
,Countering,"The Countering strategy works on a very simple premise: when the urge to engage in an unhealthy behavior strikes, sub in a healthier behavior instead. Countering strategies are popular among dieters — think of tactically opting for a healthy fruit snack when a potato chip craving strikes. Another famous example: smokers often try to aid their efforts to quit by popping a mint or a piece of gum whenever they find themselves longing for a cigarette.



Possible forms of Countering:

Relaxation tactics

Systematic desensitization

Substitution (as described above)",,,5. To be deleted,,Same as #204,,,,,"https://www.clearerthinking.org/single-post/2017/06/07/9-strategies-therapists-use-to-change-behaviors - based on book ""Changing For Good""",,,,,,411
,Environment Control,"The Environment Control strategy is similar to the Social Liberation strategy in that it involves altering your environment to make behavior change easier. In this case, though, the strategy focuses on changing the environments that you yourself directly control, such as your home or your workspace. The most common and obvious type of Environment Control tactic is removing unhealthy temptations — such as junk food, tobacco, alcohol, and so forth — from your home. But Environment Control tactics can take more positive forms too, such as a reminder placed in your workspace to go straight to the gym after work instead of going home.



Possible forms of Environment Control:

Avoiding high-risk environments

Removing risks from your own environment

Making your environment more conducive to new behavior

Equipping your environment with supplies for a new behavior",,,5. To be deleted,,Same as #8,,,,,"https://www.clearerthinking.org/single-post/2017/06/07/9-strategies-therapists-use-to-change-behaviors - based on book ""Changing For Good""",,,,,,412
,Rewards,"This strategy is one of the most simple and intuitive of the bunch, as well as one of the most effective. Rewarding good behavior is a time-tested method for supporting efforts to change habits. Commonplace examples abound, such as rewarding oneself with a dessert after hitting a dieting goal, or enticing yourself to exercise by limiting your TV-watching time to when you're on an exercise bike.



Possible forms of Rewards:

Reward for achieving a milestone

Reward for beginning individual instances of behavior practices

Self-praise for adherence to a new behavior",,,5. To be deleted,,It is a bundle of the rewards strategies already present in the file,,,,,"https://www.clearerthinking.org/single-post/2017/06/07/9-strategies-therapists-use-to-change-behaviors - based on book ""Changing For Good""",,,,,,413
, Helping Relationships,"As mentioned, the success or failure of any behavior change effort you undertake will ultimately fall to you. But while you can't control the behavior of your friends and family members, they can be an invaluable source of assistance. If let your close confidants in on your efforts, you'll do more than up the ante by putting your credibility into play a la the Commitment strategy. You'll also be able to ask them for logistical help (e.g. buying groceries that match a new diet) or moral support, in the form of encouragement or compassion.



If you're looking to change your own behavior, consider trying out combinations of these 9 strategies and seeing which ones work best for you. Or, better yet, contact a licensed practitioner (such as a cognitive-behavioral therapist) to help you sift through these strategies and come up with the combination best suited to helping you change your ways.",,,5. To be deleted,,A group of strategies already in the database,,,,,"https://www.clearerthinking.org/single-post/2017/06/07/9-strategies-therapists-use-to-change-behaviors - based on book ""Changing For Good""",,,,,,414
,PERSONALIZATION,"When communicating with the target audience, personalize the message so that each recipient feels it is targeting them specifically (e.g., using the recipient's name in the messaging).",1. Considers,PRESENTATION,0. No edits needed,,,,,,,,,,,,"presentation, presentations, presented, presenting, considers, present, lecture, overview, meeting, discussion",415
,HARD-TO-MISS MESSAGING,"When sending a message to the target audience, make it stand out (e.g., via contrast, color, or motion).",1. Considers,PRESENTATION,0. No edits needed,,,,,,,,,,,,"presentation, presentations, presenting, communications, communication, speech, presented, overview, keynote, multimedia",416
,CHALLENGE,Organize a challenge or contest to give visibility to a cause or a problem. Social media is especially useful for the challenge to go viral. The challenge can be also linked to a fundraiser.,1. Considers,MEDIUM,0. No edits needed,,,,,,,,,,,,"medium, challenge, challenges, considers, challenging, dilemma, poses, threat, constraint, task",417
,USING THE RIGHT MEDIA,"Choose the appropriate media to deliver the message depending on the target population: advertisements, news articles, academic articles, whitepapers, blog posts, books, videos, podcasts and radio shows, social media posts, presentations or lectures.",1. Considers,MEDIUM,0. No edits needed,,,,,,,,,,,,"medium, considers, constitutes, small, term, enterprise, uses, prefers, perceives, enterprises",418
,SCHEDULING,"Schedule when to perform the new behavior. It can be by frequency (e.g., go out running 3x / week), single-point intentions (e.g., I'll get the flu shot on Monday at 9 am) or period intentions (e.g., I'll have my annual checkup within the next two weeks).",3. Intends,PLANNING,0. No edits needed,,,,,,,,,,,,"planning, schedule, schedules, planned, plans, scheduled, preparing, upcoming, plan, preparation",419
,PROMISES TO SELF,Write down promises to yourself about the new behavior.,,,5. To be deleted,,Merged with #221 and #257,,,,,,,,,,,420
,PUBLIC COMMITMENT,Announce your intention to adopt a new behavior.,3. Intends,COMMITMENT,0. No edits needed,,,,,,,,,,,,"commitment, pledge, commitments, intention, willingness, committed, intends, desire, intend, promise",421
,CALENDAR,"Create entries on a calendar to schedule when to practice the new behavior (e.g., schedule when to go to the gym, schedule to go shopping to the fresh food market to get fruits and vegetables,...). Note that the main purpose of this intervention is for the user to remember to perform the action, therefore it should be a calendar the user checks frequently or a digital one that alerts the user when to perform the scheduled action.",4. Remembers,REMINDERS,0. No edits needed,,,,,,,,,,,,"calendar, reminder, remind, remember, remembering, updates, schedules, notices, memories, forget",422
,PHONE REMINDERS,Schedule alarms on the cell phone to remember when to practice the new behavior.,4. Remembers,REMINDERS,0. No edits needed,,,,,,,,,,,,"reminder, remind, remembering, remember, memories, reminded, forget, warnings, remembers, notices",423
,REMINDERS FROM OTHERS,"Have the person ask family, friends, or colleagues to remind them to practice the new behavior.",4. Remembers,REMINDERS,0. No edits needed,,,,,,,,,,,,"reminder, remind, remembering, remember, reminded, memories, remembers, forget, reminds, warnings",424
,VISUALIZATION,Have the person visualize themselves repeatedly doing the new behavior in a chosen context.,4. Remembers,REPETITION,0. No edits needed,,,,,,,,,,,,"repetition, visualization, visualize, repetitive, visualizations, visual, parallelism, geometric, spatial, recursive",425
,PRACTICE,Have the person practice the behavior in a chosen context.,4. Remembers,REPETITION,0. No edits needed,,,,,,,,,,,,"repetition, practice, practiced, practicing, repetitive, repeating, remembers, zazen, routines, drills",426
,SIMPLIFY,Design or present actions as minimal changes to existing behavior to show that they are doable.,5. Believes,TASK SELF-EFFICACY,0. No edits needed,,,,,,,,,,,,"simplify, simplified, simpler, optimize, improve, easier, facilitate, complicated, complexity, reduce",427
,SUCCESS WILL OCCUR,Show evidence proving that performing the action leads to adopting the new behavior.,5. Believes,LINKING ACTION & DESIRED OUTCOME,0. No edits needed,,,,,,,,,,,,"outcome, believes, success, occur, happen, happens, successful, result, proves, thinks",428
,STORIES OF SUCCESS,Share stories of other people with a similar profile to the target population who succeeded in performing the action.,5. Believes,TASK SELF-EFFICACY,0. No edits needed,,,,,,,,,,,,"task, success, believes, stories, challenge, thinks, challenges, succeed, knows, feat",429
,PRACTICE,Have people practice the required action to reinforce the belief that they can do it.,5. Believes,TASK SELF-EFFICACY,2. Edited,,Before: Show that the target people can perform the action by asking them to practice it.,,,,,,,,,,"practice, practicing, practiced, practices, task, believes, work, drills, mindset, training",430
,EDUCATION,Explain why performing the action will lead to success in adopting the new behavior.,5. Believes,LINKING ACTION & DESIRED OUTCOME,0. No edits needed,,,,,,,,,,,,"education, educational, curriculum, teaching, schooling, believes, learning, schools, academic, accountability",431
,MEMORIZATION,Memorization of helpful facts required to perform the action.,7. Knows,MEMORIZATION,0. No edits needed,,,,,,,,,,,,"comprehension, math, mathematics, algebraic, algebra, repetition, learning, arithmetic, phonetic, repetitive",432
,CLASSROOM EDUCATION,Teach how to perform the action in a classroom setup.,7. Knows,TRAINING,0. No edits needed,,,,,,,,,,,,"classroom, training, teaching, education, curriculum, learning, instruction, teach, instructional, school",433
,EDUCATIONAL VIDEOS,Use educational videos to teach the target population how to perform the desired action.,7. Knows,TRAINING,0. No edits needed,,,,,,,,,,,,"training, videos, educational, instruction, instructors, video, tutorials, instructional, learning, teach",434
,MANAGING EMOTIONS,Teach strategies for responding to overwhelming emotions that might be likely to be triggered when attempting any of the necessary actions.,7. Knows,TRAINING,0. No edits needed,,,,,,,,,,,,"emotions, training, managing, feelings, emotion, learning, emotional, knows, mentally, manage",435
,CALL-TO-ACTION,"Have a clear call to action so that there is no confusion about how to start. For instance, a big button saying ""click here to start"" or a header labeled ""step 1"".",7. Knows,TRAINING,0. No edits needed,,,,,,,,,,,,"training, trained, instructors, instruction, knows, learning, teach, conditioning, academy, instructor",436
,PROVISION OF RESOURCES,"Directly provide resources that will help the person provide the behavior, for instance, money or needed equipment.",8. Has,PROVIDING,0. No edits needed,,,,,,,,,,,,"providing, provide, provision, provides, provided, ensuring, services, resources, offering, supplying",437
,DISCOUNTS,Offer discounts for resources that help perform the behavior.,8. Has,PROVIDING,0. No edits needed,,,,,,,,,,,,"discounts, discount, offering, offers, pricing, offer, providing, rebate, incentives, purchases",438
